acl 2.2.52-4
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.3-1
xdg-utils 1.1.2-2
xf86-input-libinput 0.27.1-1
xf86-video-amdgpu 18.0.1-1
xfconf 4.12.1-4
xfsprogs 4.15.1-1
xkeyboard-config 2.23.1-3
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.3-1
xorg-server 1.19.6+13+gd0d1a694f-2
xorg-server-common 1.19.6+13+gd0d1a694f-2
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.10-1
xorg-xinit 1.4.0-3
xorg-xkbcomp 1.4.1-1
xorg-xmodmap 1.0.9-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xset 1.2.4-1
xorgproto 2018.4-1
xsel 1.2.0.20160929-1
xterm 332-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-1
yay 6.727-2
zeromq 4.2.2-2
zinnia 0.06-4
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zstd 1.3.4-1
